"name","essround","edition","proddate","idno","cntry","dweight","pspwght","pweight","anweight","prob","stratum","psu","aesfdrk","happy","health","gndr","yrbrn","age","agea","edufld","edulvla","edulvlb","emplrel","isco08","iscoco","pdjobev","wkhtot","edlves","edlvaes","edlvdes","edlvees","edlvges","edlvhes","impdiff","impenv","impfree","impfun","imprich","impsafe","imptrad","ipadvnt","ipbhprp","ipcrtiv","ipeqopt","ipfrule","ipgdtim","iphlppl","iplylfr","ipmodst","iprspot","ipshabt","ipstrgv","ipsuces","ipudrst","regiones","regioaes"
"ESS1e06_7",1,"6.7","23.11.2023",2,"ES",1.2672,2.3464944,2.0200796,4.7401056,,,,2,7,2,2,1985,,17,,1,,6,,66666,2,666,2,,,,,,3,2,2,2,6,3,4,3,3,3,2,4,2,3,2,3,5,5,2,4,3,21,
"ESS1e06_7",1,"6.7","23.11.2023",5,"ES",0.8448,0.70053184,2.0200796,1.4151301,,,,2,8,2,1,1964,,38,,3,,1,,8324,6,50,5,,,,,,2,1,1,1,2,2,2,5,5,1,1,6,1,3,1,3,4,1,3,1,2,21,
"ESS1e06_7",1,"6.7","23.11.2023",8,"ES",1.2672,2.413873,2.0200796,4.8762155,,,,4,8,3,1,1982,,20,,2,,1,,8322,6,48,3,,,,,,3,1,1,1,5,2,3,3,3,3,1,3,3,1,1,1,5,3,3,3,2,21,
"ESS1e06_7",1,"6.7","23.11.2023",13,"ES",0.8652,1.0648167,2.0200796,2.1510146,,,,1,6,2,1,1981,,22,,2,,1,,9330,6,40,3,,,,,,2,3,1,4,5,3,5,5,4,4,6,5,2,3,4,2,4,6,5,6,2,42,
"ESS1e06_7",1,"6.7","23.11.2023",15,"ES",0.8652,0.73702955,2.0200796,1.4888583,,,,8,6,3,1,1923,,80,,1,,2,,6112,1,888,1,,,,,,4,2,2,3,4,1,1,6,1,2,2,1,6,1,2,1,2,5,2,3,5,42,
"ESS1e06_7",1,"6.7","23.11.2023",22,"ES",1.7304,2.1296334,2.0200796,4.302029,,,,2,8,2,1,1987,,16,,2,,6,,66666,2,666,3,,,,,,3,2,2,4,5,3,4,3,3,2,2,5,3,2,2,3,4,3,3,3,2,42,
"ESS1e06_7",1,"6.7","23.11.2023",23,"ES",0.4326,0.41509965,2.0200796,0.83853436,,,,2,5,2,2,1942,,61,,1,,6,,66666,2,666,2,,,,,,2,2,2,2,4,1,2,6,2,2,2,3,2,2,2,2,2,2,3,2,4,42,
"ESS1e06_7",1,"6.7","23.11.2023",25,"ES",1.7941,2.9828842,2.0200796,6.0256634,,,,2,7,2,1,1980,,22,,5,,6,,66666,7,666,8,,,,,,2,3,2,3,5,4,4,3,3,3,1,5,3,2,2,3,3,4,4,4,2,42,
"ESS1e06_7",1,"6.7","23.11.2023",27,"ES",1.3456,0.6275136,2.0200796,1.2676274,,,,3,7,2,2,1962,,40,,3,,1,,5132,6,35,5,,,,,,3,2,3,5,6,2,5,6,3,3,2,4,3,3,2,2,5,6,2,5,2,42,
"ESS1e06_7",1,"6.7","23.11.2023",31,"ES",0.897,0.4183113,2.0200796,0.84502214,,,,2,8,1,2,1960,,42,,3,,1,,4190,1,40,4,,,,,,5,1,2,3,6,1,1,6,2,5,2,2,4,2,2,2,5,6,1,3,2,42,
