YEAR,GENERO,EDAD,REL_LABORAL,FELICIDAD,SALUD,SEGURIDAD,REGION
2010,2,41,1,8,2,2,NA
2010,2,52,1,8,2,4,NA
2010,1,46,1,7,2,1,NA
2010,1,65,3,8,2,2,NA
2010,1,38,1,10,3,2,NA
2010,2,28,3,6,4,3,NA
2010,2,53,1,8,3,2,NA
2010,2,38,1,8,2,1,NA
2010,2,38,1,7,2,2,NA
2010,2,50,1,10,1,1,NA
2010,1,48,1,6,2,3,NA
2010,2,29,2,8,1,2,NA
2010,1,60,1,5,2,3,NA
2010,1,54,2,7,3,1,NA
2010,1,45,1,7,2,2,NA
2010,1,36,1,7,2,2,NA
2010,1,50,1,7,3,1,NA
2010,1,33,1,5,2,1,NA
2010,2,21,1,9,2,1,NA
2010,1,34,1,6,3,3,NA
2010,2,27,1,8,2,1,NA
2010,1,30,1,9,3,1,NA
2010,1,43,2,8,2,2,NA
2010,2,49,1,10,2,1,NA
2010,1,56,1,8,4,3,NA
2010,2,57,1,9,2,3,NA
2010,2,26,1,9,1,3,NA
2010,2,63,1,8,2,2,NA
2010,1,52,1,10,2,2,NA
2010,2,22,1,8,2,2,NA
2010,1,49,1,9,1,3,NA
2010,1,67,1,8,2,3,NA
2010,1,23,2,10,1,2,NA
2010,2,28,1,9,1,1,NA
2010,2,29,1,10,2,2,NA
2010,1,46,1,8,2,2,NA
2010,1,40,1,9,3,1,NA
2010,2,35,1,10,1,2,NA
2010,2,57,1,8,4,2,NA
2010,1,23,1,8,2,1,NA
2010,1,37,2,7,2,2,NA
2010,2,33,1,7,2,2,NA
2010,1,45,1,8,2,2,NA
2010,2,46,1,8,2,2,NA
2010,2,57,1,7,2,2,NA
2010,2,26,1,8,1,2,NA
2010,2,42,1,7,3,1,NA
2010,2,42,1,8,4,2,NA
2010,2,41,1,10,2,3,NA
2010,2,51,1,7,4,2,NA
2010,2,27,1,8,2,1,NA
2010,2,32,1,9,2,2,NA
2010,1,51,1,6,3,2,NA
2010,2,39,2,10,1,2,NA
2010,1,36,1,9,1,1,NA
2010,1,31,1,6,2,1,NA
2010,1,16,1,8,1,1,NA
2010,1,59,2,8,2,2,NA
2010,1,35,1,7,1,1,NA
2010,2,50,2,10,1,3,NA
2010,1,42,1,10,3,1,NA
2010,1,31,1,7,2,2,NA
2010,2,26,2,8,1,2,NA
2010,1,45,1,7,4,2,NA
2010,2,61,1,7,3,2,NA
2010,1,55,2,6,3,2,NA
2010,2,47,1,8,1,2,NA
2010,2,46,1,6,2,2,NA
2010,2,40,1,6,2,2,NA
2010,2,50,1,5,1,3,NA
2010,1,68,1,8,3,2,NA
2010,2,31,1,8,2,2,NA
2010,1,67,1,7,4,3,NA
2010,1,43,1,9,2,2,NA
2010,2,63,1,10,3,2,NA
2010,1,66,1,7,2,2,NA
2010,1,63,3,9,2,1,NA
2010,1,53,1,8,3,1,NA
2010,1,31,1,7,1,1,NA
2010,2,51,1,8,2,3,NA
2010,2,49,1,7,2,3,NA
2010,1,62,1,10,1,1,NA
2010,1,64,1,7,2,2,NA
2010,1,28,1,6,2,1,NA
2010,1,32,1,8,2,2,NA
2010,2,43,1,9,2,2,NA
