name,essround,edition,proddate,idno,cntry,dweight,pspwght,pweight,anweight,prob,stratum,psu,aesfdrk,happy,health,gndr,yrbrn,age,agea,edufld,edulvla,edulvlb,emplrel,isco08,iscoco,pdjobev,wkhtot,edlves,edlvaes,edlvdes,edlvees,edlvges,edlvhes,impdiff,impenv,impfree,impfun,imprich,impsafe,imptrad,ipadvnt,ipbhprp,ipcrtiv,ipeqopt,ipfrule,ipgdtim,iphlppl,iplylfr,ipmodst,iprspot,ipshabt,ipstrgv,ipsuces,ipudrst,regiones,regioaes,ages,region,year
ESS1e06_7,1,6.7,23.11.2023,2,ES,1.2672,2.3464944,2.0200796,4.7401056,NA,NA,NA,2,7,2,2,1985,NA,17,NA,1,NA,6,NA,66666,2,666,2,NA,NA,NA,NA,NA,3,2,2,2,6,3,4,3,3,3,2,4,2,3,2,3,5,5,2,4,3,21,NA,17,21,2002
ESS1e06_7,1,6.7,23.11.2023,5,ES,0.8448,0.70053184,2.0200796,1.4151301,NA,NA,NA,2,8,2,1,1964,NA,38,NA,3,NA,1,NA,8324,6,50,5,NA,NA,NA,NA,NA,2,1,1,1,2,2,2,5,5,1,1,6,1,3,1,3,4,1,3,1,2,21,NA,38,21,2002
ESS1e06_7,1,6.7,23.11.2023,8,ES,1.2672,2.413873,2.0200796,4.8762155,NA,NA,NA,4,8,3,1,1982,NA,20,NA,2,NA,1,NA,8322,6,48,3,NA,NA,NA,NA,NA,3,1,1,1,5,2,3,3,3,3,1,3,3,1,1,1,5,3,3,3,2,21,NA,20,21,2002
ESS1e06_7,1,6.7,23.11.2023,13,ES,0.8652,1.0648167,2.0200796,2.1510146,NA,NA,NA,1,6,2,1,1981,NA,22,NA,2,NA,1,NA,9330,6,40,3,NA,NA,NA,NA,NA,2,3,1,4,5,3,5,5,4,4,6,5,2,3,4,2,4,6,5,6,2,42,NA,22,42,2002
ESS1e06_7,1,6.7,23.11.2023,15,ES,0.8652,0.73702955,2.0200796,1.4888583,NA,NA,NA,8,6,3,1,1923,NA,80,NA,1,NA,2,NA,6112,1,888,1,NA,NA,NA,NA,NA,4,2,2,3,4,1,1,6,1,2,2,1,6,1,2,1,2,5,2,3,5,42,NA,80,42,2002
ESS1e06_7,1,6.7,23.11.2023,22,ES,1.7304,2.1296334,2.0200796,4.302029,NA,NA,NA,2,8,2,1,1987,NA,16,NA,2,NA,6,NA,66666,2,666,3,NA,NA,NA,NA,NA,3,2,2,4,5,3,4,3,3,2,2,5,3,2,2,3,4,3,3,3,2,42,NA,16,42,2002
ESS1e06_7,1,6.7,23.11.2023,23,ES,0.4326,0.41509965,2.0200796,0.83853436,NA,NA,NA,2,5,2,2,1942,NA,61,NA,1,NA,6,NA,66666,2,666,2,NA,NA,NA,NA,NA,2,2,2,2,4,1,2,6,2,2,2,3,2,2,2,2,2,2,3,2,4,42,NA,61,42,2002
ESS1e06_7,1,6.7,23.11.2023,25,ES,1.7941,2.9828842,2.0200796,6.0256634,NA,NA,NA,2,7,2,1,1980,NA,22,NA,5,NA,6,NA,66666,7,666,8,NA,NA,NA,NA,NA,2,3,2,3,5,4,4,3,3,3,1,5,3,2,2,3,3,4,4,4,2,42,NA,22,42,2002
ESS1e06_7,1,6.7,23.11.2023,27,ES,1.3456,0.6275136,2.0200796,1.2676274,NA,NA,NA,3,7,2,2,1962,NA,40,NA,3,NA,1,NA,5132,6,35,5,NA,NA,NA,NA,NA,3,2,3,5,6,2,5,6,3,3,2,4,3,3,2,2,5,6,2,5,2,42,NA,40,42,2002
ESS1e06_7,1,6.7,23.11.2023,31,ES,0.897,0.4183113,2.0200796,0.84502214,NA,NA,NA,2,8,1,2,1960,NA,42,NA,3,NA,1,NA,4190,1,40,4,NA,NA,NA,NA,NA,5,1,2,3,6,1,1,6,2,5,2,2,4,2,2,2,5,6,1,3,2,42,NA,42,42,2002
ESS1e06_7,1,6.7,23.11.2023,36,ES,1.3456,1.1313396,2.0200796,2.2853959,NA,NA,NA,2,8,3,2,1957,NA,45,NA,5,NA,1,NA,4190,1,888,8,NA,NA,NA,NA,NA,1,2,1,3,3,1,2,4,2,2,1,3,1,2,1,1,2,4,1,4,1,42,NA,45,42,2002
ESS1e06_7,1,6.7,23.11.2023,37,ES,1.7045,2.0977578,2.0200796,4.237638,NA,NA,NA,2,10,2,1,1970,NA,32,NA,2,NA,1,NA,8231,6,56,3,NA,NA,NA,NA,NA,3,1,2,1,6,1,4,1,2,2,3,4,1,2,1,5,1,5,3,1,2,42,NA,32,42,2002
ESS1e06_7,1,6.7,23.11.2023,38,ES,0.8522,0.8177252,2.0200796,1.65187,NA,NA,NA,2,7,3,2,1934,NA,68,NA,1,NA,6,NA,66666,2,666,0,NA,NA,NA,NA,NA,3,2,2,5,5,2,2,5,2,2,2,1,3,2,2,2,2,2,2,4,2,42,NA,68,42,2002
ESS1e06_7,1,6.7,23.11.2023,41,ES,0.8522,0.72595537,2.0200796,1.4664876,NA,NA,NA,2,4,2,1,1920,NA,82,NA,1,NA,1,NA,9211,1,888,0,NA,NA,NA,NA,NA,3,2,2,4,3,2,2,4,2,3,2,2,4,2,2,2,2,3,2,3,3,42,NA,82,42,2002
ESS1e06_7,1,6.7,23.11.2023,42,ES,0.4261,0.4088626,2.0200796,0.825935,NA,NA,NA,3,8,2,2,1945,NA,57,NA,1,NA,1,NA,9132,1,40,1,NA,NA,NA,NA,NA,2,2,3,2,5,2,4,5,2,2,2,2,1,2,2,2,2,2,2,3,3,42,NA,57,42,2002
ESS1e06_7,1,6.7,23.11.2023,43,ES,1.2784,1.0890182,2.0200796,2.1999035,NA,NA,NA,2,6,2,1,1924,NA,78,NA,1,NA,2,NA,7412,1,888,1,NA,NA,NA,NA,NA,5,2,2,4,5,2,2,5,2,3,2,2,5,2,2,3,2,3,2,3,2,42,NA,78,42,2002
ESS1e06_7,1,6.7,23.11.2023,46,ES,0.4261,0.4088626,2.0200796,0.825935,NA,NA,NA,2,7,4,2,1915,NA,87,NA,1,NA,6,NA,66666,2,666,0,NA,NA,NA,NA,NA,5,2,2,5,4,2,2,5,2,5,2,2,5,2,2,2,2,2,2,5,2,42,NA,87,42,2002
ESS1e06_7,1,6.7,23.11.2023,47,ES,0.7451,0.7149578,2.0200796,1.4442716,NA,NA,NA,4,10,4,2,1931,NA,71,NA,1,NA,1,NA,9131,1,60,1,NA,NA,NA,NA,NA,5,2,4,2,5,2,2,6,2,1,2,1,3,2,1,6,6,2,2,5,2,42,NA,71,42,2002
ESS1e06_7,1,6.7,23.11.2023,48,ES,0.7451,0.6347211,2.0200796,1.2821871,NA,NA,NA,2,2,4,1,1919,NA,83,NA,1,NA,1,NA,9211,1,888,0,NA,NA,NA,NA,NA,5,3,2,3,5,2,3,3,2,2,5,5,5,3,4,3,2,5,2,3,2,42,NA,83,42,2002
ESS1e06_7,1,6.7,23.11.2023,49,ES,1.1177,1.5121849,2.0200796,3.0547338,NA,NA,NA,1,10,3,1,1964,NA,38,NA,1,NA,1,NA,9313,1,40,2,NA,NA,NA,NA,NA,6,1,1,1,6,1,5,6,1,1,4,2,2,1,5,1,2,2,2,2,2,42,NA,38,42,2002
ESS1e06_7,1,6.7,23.11.2023,51,ES,0.3726,0.35752687,2.0200796,0.72223276,NA,NA,NA,2,4,3,2,1931,NA,71,NA,1,NA,6,NA,66666,2,666,0,NA,NA,NA,NA,NA,5,4,2,2,5,2,2,6,2,2,2,2,4,2,2,2,2,3,2,5,2,42,NA,71,42,2002
ESS1e06_7,1,6.7,23.11.2023,53,ES,1.4902,1.8340151,2.0200796,3.7048566,NA,NA,NA,1,9,2,1,1985,NA,17,NA,2,NA,1,NA,7231,1,55,3,NA,NA,NA,NA,NA,1,3,2,1,2,2,1,1,3,1,3,4,2,1,1,3,4,3,2,2,3,42,NA,17,42,2002
