YEAR,GENERO,EDAD,REL_LABORAL,FELICIDAD,SALUD,SEGURIDAD,REGION
2002,1,38,1,8,2,2,21
2002,1,20,1,8,3,4,21
2002,1,22,1,6,2,1,42
2002,2,40,1,7,2,3,42
2002,2,42,1,8,1,2,42
2002,2,45,1,8,3,2,42
2002,1,32,1,10,2,2,42
2002,2,57,1,8,2,3,42
2002,1,38,1,10,3,1,42
2002,1,17,1,9,2,1,42
2002,2,22,1,5,2,3,42
2002,1,53,1,5,2,2,42
2002,1,62,1,5,4,2,42
2002,1,28,1,6,2,2,52
2002,1,48,1,7,2,2,52
2002,1,46,1,6,2,2,52
2002,1,40,1,7,2,2,52
2002,1,39,1,6,1,2,52
2002,2,29,1,7,2,2,52
2002,1,26,1,8,3,3,52
2002,1,23,1,8,3,2,52
2002,1,44,2,6,2,2,52
2002,2,35,1,6,3,2,52
2002,2,53,1,2,3,4,52
2002,2,28,1,8,1,2,52
2002,2,27,1,8,3,3,52
2002,2,50,2,7,2,3,52
2002,1,46,1,8,4,3,52
2002,2,51,1,8,1,3,52
2002,2,46,1,6,2,2,52
2002,1,70,1,4,3,3,52
2002,1,62,3,10,2,4,52
2002,2,36,1,6,3,2,52
2002,1,51,2,6,3,2,52
2002,2,68,1,5,3,2,52
2002,1,35,1,6,2,2,52
2002,1,36,2,6,2,2,52
2002,1,37,1,8,3,2,52
2002,1,35,1,8,1,2,52
2002,1,57,1,8,4,3,52
2002,2,40,1,10,2,3,52
2002,2,36,1,6,3,2,52
2002,2,61,1,8,3,2,52
2002,2,67,2,5,4,2,52
2002,1,38,1,5,3,2,52
2002,2,42,1,5,2,2,52
2002,2,42,1,6,3,3,52
2002,1,62,2,8,4,3,52
2002,1,37,1,9,2,2,52
2002,1,28,1,7,1,2,52
2002,2,33,1,7,1,1,52
2002,2,31,1,6,2,2,52
2002,1,20,2,7,2,2,52
2002,2,34,1,7,3,2,52
2002,1,42,1,10,1,1,52
2002,1,49,1,7,2,2,52
2002,2,27,1,7,3,3,52
2002,2,64,2,10,3,3,61
2002,1,70,2,5,4,2,61
2002,1,57,1,10,2,2,61
2002,2,35,1,8,3,2,61
2002,2,32,1,7,2,2,61
2002,1,32,1,7,2,2,61
2002,2,65,2,10,2,2,61
2002,2,61,2,10,3,3,61
2002,1,64,2,8,3,3,61
2002,1,43,2,10,3,2,61
2002,1,39,2,5,3,2,61
2002,2,25,1,10,3,4,61
2002,2,53,1,5,4,3,61
2002,2,19,1,6,2,3,61
2002,2,21,1,10,2,2,61
2002,2,27,1,9,3,1,41
2002,1,42,2,7,2,1,41
2002,2,39,2,6,2,1,41
2002,1,33,2,8,3,1,41
2002,2,33,1,6,3,2,43
2002,2,42,1,8,3,3,43
2002,2,65,2,7,2,3,43
2002,1,17,1,10,1,1,43
2002,1,70,1,7,4,1,43
2002,1,41,1,6,1,1,43
2002,1,53,1,8,2,1,43
2002,2,36,1,8,3,2,43
2002,1,33,1,8,2,1,43
2002,2,30,1,8,2,1,43
2002,1,69,1,7,2,1,43
2002,2,70,1,6,4,1,43
2002,2,29,1,8,1,1,43
2002,2,45,1,10,4,1,43
