YEAR,GENERO,EDAD,REL_LABORAL,FELICIDAD,SALUD,SEGURIDAD,REGION
2002,Hombre,38,Empleado,8,Buena,Seguro,País Vasco
2002,Hombre,20,Empleado,8,Normal,Muy inseguro,País Vasco
2002,Hombre,22,Empleado,6,Buena,Muy seguro,Castilla-La Mancha
2002,Mujer,40,Empleado,7,Buena,Inseguro,Castilla-La Mancha
2002,Mujer,42,Empleado,8,Muy buena,Seguro,Castilla-La Mancha
2002,Mujer,45,Empleado,8,Normal,Seguro,Castilla-La Mancha
2002,Hombre,32,Empleado,10,Buena,Seguro,Castilla-La Mancha
2002,Mujer,57,Empleado,8,Buena,Inseguro,Castilla-La Mancha
2002,Hombre,38,Empleado,10,Normal,Muy seguro,Castilla-La Mancha
2002,Hombre,17,Empleado,9,Buena,Muy seguro,Castilla-La Mancha
2002,Mujer,22,Empleado,5,Buena,Inseguro,Castilla-La Mancha
2002,Hombre,53,Empleado,5,Buena,Seguro,Castilla-La Mancha
2002,Hombre,62,Empleado,5,Mala,Seguro,Castilla-La Mancha
2002,Hombre,28,Empleado,6,Buena,Seguro,Comunidad Valenciana
2002,Hombre,48,Empleado,7,Buena,Seguro,Comunidad Valenciana
2002,Hombre,46,Empleado,6,Buena,Seguro,Comunidad Valenciana
2002,Hombre,40,Empleado,7,Buena,Seguro,Comunidad Valenciana
2002,Hombre,39,Empleado,6,Muy buena,Seguro,Comunidad Valenciana
2002,Mujer,29,Empleado,7,Buena,Seguro,Comunidad Valenciana
2002,Hombre,26,Empleado,8,Normal,Inseguro,Comunidad Valenciana
2002,Hombre,23,Empleado,8,Normal,Seguro,Comunidad Valenciana
2002,Hombre,44,Autónomo,6,Buena,Seguro,Comunidad Valenciana
2002,Mujer,35,Empleado,6,Normal,Seguro,Comunidad Valenciana
2002,Mujer,53,Empleado,2,Normal,Muy inseguro,Comunidad Valenciana
2002,Mujer,28,Empleado,8,Muy buena,Seguro,Comunidad Valenciana
2002,Mujer,27,Empleado,8,Normal,Inseguro,Comunidad Valenciana
2002,Mujer,50,Autónomo,7,Buena,Inseguro,Comunidad Valenciana
2002,Hombre,46,Empleado,8,Mala,Inseguro,Comunidad Valenciana
2002,Mujer,51,Empleado,8,Muy buena,Inseguro,Comunidad Valenciana
2002,Mujer,46,Empleado,6,Buena,Seguro,Comunidad Valenciana
2002,Hombre,70,Empleado,4,Normal,Inseguro,Comunidad Valenciana
2002,Hombre,62,Negocio familiar,10,Buena,Muy inseguro,Comunidad Valenciana
2002,Mujer,36,Empleado,6,Normal,Seguro,Comunidad Valenciana
2002,Hombre,51,Autónomo,6,Normal,Seguro,Comunidad Valenciana
2002,Mujer,68,Empleado,5,Normal,Seguro,Comunidad Valenciana
2002,Hombre,35,Empleado,6,Buena,Seguro,Comunidad Valenciana
2002,Hombre,36,Autónomo,6,Buena,Seguro,Comunidad Valenciana
2002,Hombre,37,Empleado,8,Normal,Seguro,Comunidad Valenciana
2002,Hombre,35,Empleado,8,Muy buena,Seguro,Comunidad Valenciana
2002,Hombre,57,Empleado,8,Mala,Inseguro,Comunidad Valenciana
2002,Mujer,40,Empleado,10,Buena,Inseguro,Comunidad Valenciana
2002,Mujer,36,Empleado,6,Normal,Seguro,Comunidad Valenciana
2002,Mujer,61,Empleado,8,Normal,Seguro,Comunidad Valenciana
2002,Mujer,67,Autónomo,5,Mala,Seguro,Comunidad Valenciana
2002,Hombre,38,Empleado,5,Normal,Seguro,Comunidad Valenciana
2002,Mujer,42,Empleado,5,Buena,Seguro,Comunidad Valenciana
2002,Mujer,42,Empleado,6,Normal,Inseguro,Comunidad Valenciana
2002,Hombre,62,Autónomo,8,Mala,Inseguro,Comunidad Valenciana
2002,Hombre,37,Empleado,9,Buena,Seguro,Comunidad Valenciana
2002,Hombre,28,Empleado,7,Muy buena,Seguro,Comunidad Valenciana
2002,Mujer,33,Empleado,7,Muy buena,Muy seguro,Comunidad Valenciana
2002,Mujer,31,Empleado,6,Buena,Seguro,Comunidad Valenciana
2002,Hombre,20,Autónomo,7,Buena,Seguro,Comunidad Valenciana
2002,Mujer,34,Empleado,7,Normal,Seguro,Comunidad Valenciana
2002,Hombre,42,Empleado,10,Muy buena,Muy seguro,Comunidad Valenciana
2002,Hombre,49,Empleado,7,Buena,Seguro,Comunidad Valenciana
2002,Mujer,27,Empleado,7,Normal,Inseguro,Comunidad Valenciana
